epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.75398,2.9944,4.00071,4.23788,0.0026,0.3876,0.00295,0.00096,2.54415,3.46581,4.15662,0.00017148,0.00017148,0.00017148
2,11.5309,2.99625,3.91432,4.1505,0.00201,0.29313,0.00196,0.00071,2.54321,3.44455,4.14461,0.000353713,0.000353713,0.000353713
3,16.9635,2.95437,3.74991,4.06882,0.00188,0.26061,0.00368,0.00091,2.53863,3.41597,4.10807,0.000532268,0.000532268,0.000532268
4,22.0667,2.97376,3.42376,3.85404,0.00216,0.32543,0.00185,0.00062,2.54218,3.45171,4.11345,0.000707145,0.000707145,0.000707145
5,36.174,2.90712,3.25198,3.73348,0.00216,0.33469,0.04209,0.01852,2.52842,3.39115,4.02342,0.000878343,0.000878343,0.000878343
6,41.201,2.75232,3.13248,3.58346,0.00185,0.30521,0.01897,0.00578,2.51432,3.77802,3.78831,0.00104586,0.00104586,0.00104586
7,43.6317,2.76474,3.10029,3.45915,0.37418,0.13799,0.07963,0.02948,2.40913,3.40043,3.72501,0.00120971,0.00120971,0.00120971
8,46.0557,2.64837,3.04649,3.36502,0.41541,0.13131,0.08371,0.02907,2.37619,3.54513,3.44167,0.00132997,0.00132997,0.00132997
9,48.4352,2.62237,3.01201,3.29488,0.45843,0.11448,0.11391,0.04731,2.5662,3.82632,3.61503,0.00131582,0.00131582,0.00131582
10,50.8177,2.48855,2.96735,3.16661,0.39075,0.02778,0.03022,0.01241,3.08131,3.91422,4.35543,0.00130168,0.00130168,0.00130168
11,53.2026,2.39429,2.90069,3.0545,0.13655,0.05303,0.04252,0.01773,2.99182,3.61636,4.26725,0.00128753,0.00128753,0.00128753
12,55.6322,2.40347,2.86402,3.04004,0.17593,0.15741,0.09912,0.04382,2.69673,4.42712,3.69409,0.00127338,0.00127338,0.00127338
13,58.0937,2.34429,2.76803,2.96868,0.2095,0.23062,0.12086,0.0512,2.50183,6.09961,3.69936,0.00125923,0.00125923,0.00125923
14,60.608,2.29062,2.72326,2.8515,0.07087,0.22643,0.11398,0.03987,2.30067,4.03069,3.46984,0.00124509,0.00124509,0.00124509
15,63.1153,2.22472,2.70542,2.81547,0.31386,0.26275,0.18124,0.07431,2.11672,3.04508,3.25017,0.00123094,0.00123094,0.00123094
16,65.563,2.12985,2.63458,2.70441,0.24597,0.34077,0.20391,0.07678,2.15444,3.10882,3.17406,0.00121679,0.00121679,0.00121679
17,68.1893,2.09259,2.62255,2.70433,0.52707,0.29008,0.34023,0.16236,1.90968,2.62147,2.83213,0.00120265,0.00120265,0.00120265
18,70.6706,2.10067,2.53201,2.684,0.23383,0.48896,0.35277,0.15168,1.94378,3.01086,2.71955,0.0011885,0.0011885,0.0011885
19,73.1033,2.12247,2.49149,2.65198,0.40244,0.49033,0.3918,0.18854,1.98642,3.76797,2.69767,0.00117435,0.00117435,0.00117435
20,75.6038,1.98852,2.47838,2.56601,0.38421,0.44577,0.32691,0.14792,1.96808,3.09194,2.72609,0.00116021,0.00116021,0.00116021
21,78.0644,1.91478,2.3449,2.50345,0.2886,0.44268,0.25477,0.125,1.93432,4.77054,2.66343,0.00114606,0.00114606,0.00114606
22,80.5803,2.00803,2.33486,2.5494,0.38209,0.35321,0.23094,0.10522,1.97348,4.78023,2.67578,0.00113191,0.00113191,0.00113191
23,83.0314,1.92645,2.33358,2.45357,0.43101,0.48384,0.41061,0.18852,1.90759,2.87851,2.63425,0.00111776,0.00111776,0.00111776
24,85.5004,1.88321,2.33166,2.40611,0.72622,0.39295,0.45919,0.19986,1.89919,2.62043,2.58894,0.00110362,0.00110362,0.00110362
25,87.921,1.81324,2.29231,2.36232,0.49369,0.41342,0.49057,0.22058,1.86221,2.67549,2.59781,0.00108947,0.00108947,0.00108947
26,90.3728,1.75268,2.19371,2.29699,0.50949,0.46697,0.45006,0.22117,1.76062,2.24511,2.48268,0.00107532,0.00107532,0.00107532
27,92.851,1.77725,2.22973,2.34734,0.50613,0.46292,0.43442,0.19076,1.93594,2.54899,2.65895,0.00106118,0.00106118,0.00106118
28,95.2958,1.79757,2.17166,2.32569,0.7011,0.49004,0.54686,0.2798,1.79591,1.99093,2.47248,0.00104703,0.00104703,0.00104703
29,97.7506,1.76294,2.14161,2.29436,0.4914,0.44168,0.46559,0.21564,1.83708,2.21696,2.486,0.00103288,0.00103288,0.00103288
30,100.181,1.78317,2.15506,2.29443,0.55378,0.53458,0.5124,0.27016,1.69012,2.42393,2.30973,0.00101873,0.00101873,0.00101873
31,102.603,1.69668,2.08677,2.22569,0.69187,0.56083,0.64099,0.35874,1.60414,1.85061,2.20912,0.00100459,0.00100459,0.00100459
32,105.099,1.7013,2.07177,2.21759,0.61666,0.46849,0.52941,0.2873,1.71087,2.6028,2.35896,0.00099044,0.00099044,0.00099044
33,107.537,1.71736,2.0348,2.21634,0.57674,0.42659,0.46643,0.24977,1.67137,2.0644,2.33737,0.000976293,0.000976293,0.000976293
34,110.031,1.6683,1.97237,2.17081,0.60729,0.53297,0.55962,0.32433,1.63889,1.91571,2.36726,0.000962146,0.000962146,0.000962146
35,112.473,1.70616,1.97934,2.21719,0.5097,0.5295,0.52501,0.30888,1.56446,2.10128,2.22978,0.000947999,0.000947999,0.000947999
36,114.894,1.62494,1.98243,2.15351,0.54625,0.44945,0.48291,0.27855,1.62022,2.35346,2.27862,0.000933851,0.000933851,0.000933851
37,117.325,1.54827,1.87292,2.0729,0.70704,0.48694,0.60119,0.33218,1.59711,1.87827,2.24097,0.000919704,0.000919704,0.000919704
38,119.777,1.6105,1.8947,2.11635,0.68104,0.54816,0.64069,0.37831,1.5458,1.81694,2.17425,0.000905557,0.000905557,0.000905557
39,122.209,1.58987,1.84925,2.11916,0.52755,0.49379,0.55878,0.32167,1.60116,1.83804,2.28604,0.00089141,0.00089141,0.00089141
40,124.701,1.54575,1.8178,2.04036,0.5664,0.57362,0.57757,0.32612,1.59789,1.80158,2.24117,0.000877263,0.000877263,0.000877263
41,127.168,1.58244,1.84651,2.11904,0.63463,0.60025,0.66366,0.38494,1.607,1.65596,2.22535,0.000863116,0.000863116,0.000863116
42,129.629,1.4806,1.78505,2.00956,0.57419,0.62138,0.63365,0.33591,1.58703,2.07953,2.21767,0.000848969,0.000848969,0.000848969
43,132.102,1.55218,1.84241,2.05245,0.61421,0.59274,0.55885,0.33454,1.46753,1.81633,2.08254,0.000834822,0.000834822,0.000834822
44,134.593,1.52328,1.6765,2.02497,0.5687,0.62614,0.62435,0.36594,1.58109,1.77577,2.22603,0.000820675,0.000820675,0.000820675
45,137.036,1.53439,1.72898,2.0073,0.64688,0.65412,0.69761,0.411,1.4695,1.56314,2.08047,0.000806528,0.000806528,0.000806528
